,text,source
3088,Can I top-up automatically?,BANKING77
3089,Why do you keep declining my payment? I tried several times already with this card and it is just not working.,BANKING77
3090,Can you tell me if a credit/refund is coming from a seller? I asked for refund directly from them and am still waiting. It's been a week now and i still havn't seen my refund yet.,BANKING77
3091,How long do bank transfers usually take?,BANKING77
3092,What are my payment options for topping off my account?,BANKING77
3093,"What are my options for topping up, automatic and/or manual?",BANKING77
3094,I sent money to my family last Friday but they don't have it.,BANKING77
3095,let me know how many disposable cards I can have?,BANKING77
3096,Im not sure why Im being charged an extra fee just for purchasing an item from another country? I paid for the item and the shipping why am I getting charged extra?,BANKING77
3097,I've already sent the money out and still have not received money in my account.,BANKING77
3098,Do you offer cards for those in other countries?,BANKING77
3099,"My new card isn't in my app, how do I get it in there?",BANKING77
3100,how is it possible to add another card to account,BANKING77
3101,"If I order a new card, how much will it be and how long will it take me to get it?",BANKING77
3102,What is the maximum for auto top-up?,BANKING77
3103,I have an unknown charge.,BANKING77
3104,Is there an exchange rate?,BANKING77
3105,I cannot see the card PIN anywhere?,BANKING77
3106,My statement shows charges for things I never purchased. Were my account details stolen?,BANKING77
3107,"What currencies can I not hold many in, if so what are they?",BANKING77
3108,How long do I have to wait for Europe transfers?,BANKING77
3109,"I tried again to top up my card after doing it a couple days ago when it had worked. Now, it doesn't seem to be working. Can you tell me what the deal is here please?",BANKING77
3110,I received a transfer in GBP how do I change it to a different currency?,BANKING77
3111,Is there an age limit to when my child can use these services?,BANKING77
3112,"I'm waiting for a money transfer to show, still.",BANKING77
3113,I'm still expecting the transaction to be finished,BANKING77
3114,I want to change my account details.,BANKING77
3115,Can I track when my card will be delivered?,BANKING77
3116,ATM withdrawal not working.,BANKING77
3117,Are there any express fees if i want my new card faster?,BANKING77
3118,Do currency exchanges cost extra?,BANKING77
3119,I changed my mind on something I purchased through you and I need the transaction canceled and a refund as soon as possible. Can you help me please?,BANKING77
3120,My transfer hasn't appeared yet,BANKING77
3121,Could you please recommend what I should do if my card keeps getting declined?  I planned to top-up today but I am unable to get it to work.  I need a fast solution to this problem.,BANKING77
3122,Please tell me how to get a card if I reside in the US.,BANKING77
3123,"I know there's money in my account, why did my account decline me?",BANKING77
3124,"My son has just turned 13, is he old enough for an account?",BANKING77
3125,"I need to make a transfer from Europe, how many days does this take?",BANKING77
3126,I did not get all the cash at ATM.,BANKING77
3127,Transaction showing up many times.,BANKING77
3128,I want a refund for my item,BANKING77
3129,"I have done a transfer within the country the day before yesterday, but it's still not there yet. Can you please check what's going on with that, the account number definitely is the right one, I've checked that several times already.",BANKING77
3130,After I used my card I saw I was charged a fee for using it,BANKING77
3131,I cannot activate my card.,BANKING77
3132,I don't have my card in 1 week.  Should I be worried?,BANKING77
3133,"I got this stupid fee after taking cash out, why?",BANKING77
3134,"Hello I made a bank account transfer from the UK. The transfer was a couple hours ago, nothing has shown up yet.  Can you check to see if everything okay. Please.",BANKING77
3135,Tell me what ATMs take this card.,BANKING77
3136,I don't appreciate the extra fees being siphoned from my account. I was helping some friends move to Japan and we were buying home decorations at the local stores. The  receipts differed greatly from what showed up in my bank account and my statement. When can I expect the extra fees to be back in my account?,BANKING77
3137,What are the exchange rates?,BANKING77
3138,My billing address changed and I need to update my information.,BANKING77
3139,My card is no longer lost. How do I enter it back into the app?,BANKING77
3140,I've made a card payment a couple of days ago now but it looks like the money is stuck. How long does it typically take for the payment to go through?,BANKING77
3141,"I need help to resolve mix up on my card payment. My account shows the money was taken out and then put back in the account. Then I received a message from the seller, It said that they did not get my payment.",BANKING77
3142,What do i do if the exchange rate was wrong for the item i bought overseas?,BANKING77
3143,I'd prefer to use my American Express when putting funds into my account.,BANKING77
3144,The atm wouldn't give out cash,BANKING77
3145,How long does it take for a purchase to go from pending to authorised?,BANKING77
3146,Do you have any top-up limits?,BANKING77
3147,My purchase from this morning still is pending.,BANKING77
3148,I am still waiting for verification.  Can I use my account before I am verified?,BANKING77
3149,When will my top up be applied?,BANKING77
3150,It appears I have a fee in my statement.,BANKING77
3151,"The transfer keeps failing , I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, Would you please check the issue?",BANKING77
3152,How can my new card be activated?,BANKING77
3153,What is this $1 charge on my account?,BANKING77
3154,I was charged an extra fee for a card payment. I was unaware of these fees beforehand.,BANKING77
3155,I need help verifying my identity.,BANKING77
3156,My identity can't be verified for some reason,BANKING77
3157,if im not using my account should i close it or just let it sit,BANKING77
3158,"I received my card, how do I get it to work in the app?",BANKING77
3159,Why is the top-up I made still pending.,BANKING77
3160,Where is the cash deposit I made?,BANKING77
3161,Will there be any extra fees if I exchange currencies?,BANKING77
3162,While on vacation I used an ATM to get cash and was overcharged. These charges are ridiculous and had I known about them I would have never used it.,BANKING77
3163,Can you transfer money to your card by bank transfer?,BANKING77
3164,"The ATM will not let me get cash, WHY?",BANKING77
3165,My payment for my card is not working,BANKING77
3166,Is there any reason my cash withdrawal still shows as pending?,BANKING77
3167,I think someone stole money from my card,BANKING77
3168,Why has my card payment not yet been applied to my account?,BANKING77
3169,How do I order a replacement for stolen card?,BANKING77
3170,Someone else charged my card!,BANKING77
3171,Where can I pay with my card?,BANKING77
3172,Can cards be dispatched on a specific date?,BANKING77
3173,What is this fee debit on my account?,BANKING77
3174,Can my salary be received and transferred to my current currency in my country?,BANKING77
3175,"Can my daughter also have a card issued in her name, but linked to my account?",BANKING77
3176,My phone was stolen! What do I need to do?,BANKING77
3177,Whats the maximum number of disposable cards that I can get?,BANKING77
3178,Is there somewhere I can send a check to add to my account?,BANKING77
3179,I recently bought an item using my card and I was charged an extra fee why is this?,BANKING77
3180,It's been a couple days how much longer do I have to wait for my transfer?,BANKING77
3181,Why did the ATM cancel my transaction,BANKING77
3182,My transfer hasn't arrived,BANKING77
3183,"I've use my accounts all the time to manage my payments for my place abroad that I just got. I now see that I suddenly have new fees.I'm a frequent customer, so why are you charging me new fees instead of rewarding me?",BANKING77
3184,I'm not sure if my pop-up went through.,BANKING77
3185,Where do I go to terminate my account?,BANKING77
3186,"My card was used without my permission, what do I do?",BANKING77
3187,"I was supposed to receive my new card by now, but it hasn't came in.",BANKING77
3188,Was there a number to track that I could get?,BANKING77
3189,Is it possible for me to track the card is was mailed to me?,BANKING77
3190,My exchange rate isn't correct.,BANKING77
3191,What is the reason my top-up is still pending?,BANKING77
3192,Someone took my card without my permission.,BANKING77
3193,My card payment was cancelled.  Why?,BANKING77
3194,I wanted $100 but only got $20,BANKING77
3195,Can I use my card in Austria?,BANKING77
3196,I have a direct debit that I did not set up,BANKING77
3197,Do I have to use a bank approved ATM to withdraw money?,BANKING77
3198,Are there any places that I can't use the disposable cards at?,BANKING77
3199,Who can request disposable cards?,BANKING77
3200,"Can you tell me how long it would take, to make a transfer from France? I made one 2 days ago and its not there yet.",BANKING77
3201,I do not understand why my pass-code is not working.,BANKING77
3202,I'm confused ass to why my contactless is not working.,BANKING77
3203,Why do I get declined when I try to withdraw cash?,BANKING77
3204,what steps do i do to get a real card,BANKING77
3205,Will you accept my salary if it's in another currency?,BANKING77
3206,We want to start a college fund for my daughter.,BANKING77
3207,Why hasn't my account updated?,BANKING77
3208,"When I went to get cash, it was declined!",BANKING77
3209,I prefer Mastecard.,BANKING77
3210,Is my card valid everywhere?,BANKING77
3211,Why do you guys need to verify my identity?,BANKING77
3212,Why isn't the transferred money there?,BANKING77
3213,Why won't my card work.,BANKING77
3214,"Hi need your help for getting the refund or cancel the payment of an item, i have ordered but still have not received it.",BANKING77
3215,I cannot see a refund in my account,BANKING77
3216,how long should i wait ti activate my card,BANKING77
3217,I have a new email.,BANKING77
3218,Do I get charged if I get money?,BANKING77
3219,I am entering my passcode but getting an error.,BANKING77
3220,Do the disposable cards have restrictions?,BANKING77
3221,My app shows a payment I didn't make,BANKING77
3222,My beneficiary didn't receive my transfer,BANKING77
3223,"My card's expiring a month from now, should I place an order for the new card?",BANKING77
3224,"help, lost my card",BANKING77
3225,What do I do when a charge has been made that I did not make?,BANKING77
3226,How do I get to the virtual cards?,BANKING77
3227,Why does my payment appear as pending?,BANKING77
3228,I need a number of disposable cards everyday.,BANKING77
3229,"I got mugged yesterday and they took everything. I can't use the app, so I need some help.",BANKING77
3230,"I was just shopping and my payment was declined in a store!  It was very embarrassing, what is going on and when will it be fixed?",BANKING77
3231,Can you tell me what are disposable cards for?,BANKING77
3232,I think the payment from my card was revereted,BANKING77
3233,How will I know when I can use the auto top-up feature?,BANKING77
3234,Please delete this account.,BANKING77
3235,What is the limit on disposable cards?,BANKING77
3236,I am having some difficulty verifying my id.,BANKING77
3237,My card is needed soon,BANKING77
3238,I am angry that I got charged for using my card.,BANKING77
3239,Will you charge me if I top up by card?,BANKING77
3240,Why is my identification required?,BANKING77
3241,I see cash in my app but I did not get it.,BANKING77
3242,Is there a list of ATMs that take this card?,BANKING77
3243,I saw I was charged extra for money I withdrew?,BANKING77
3244,I think I may have been charged $1 extra on my app.  Could you provide some insight as to why this may have happened?,BANKING77
3245,"This past holiday I made a withdraw at the ATM machine, and it seems I've been charged too much.",BANKING77
3246,Can i receive transfers from my employer this way?,BANKING77
3247,I am still waiting on my bank transfer,BANKING77
3248,How many different cards can I have for my account?,BANKING77
3249,How are the exchange rates determined?,BANKING77
3250,I wish to be able to top up with cash.,BANKING77
3251,There's an error with the rate that is charged.,BANKING77
3252,I made a payment but it's still pending,BANKING77
3253,I have tried a couple of times to make a purchase and my card keeps getting declined. Why do you keep denying my transfers? I have already tried a couple of times and it's not working.,BANKING77
3254,Why was I declined when I tried to get my money?,BANKING77
3255,I did a topup successfully but its not showing in balance. I think there is some problem in system.,BANKING77
3256,Please assist me in activating the card.,BANKING77
3257,What can I use to receive my salary?,BANKING77
3258,How do I go about transferring money into my bank account?,BANKING77
3259,are SWIFT transfers an option?,BANKING77
3260,How old can one use your service?,BANKING77
3261,I have a service fee that I've never seen before. It showed up after I bought something from an international seller online.,BANKING77
3262,What is this random charge of one pound doing on my account?,BANKING77
3263,Why didn't my transfer to a beneficiary go through?,BANKING77
3264,I was unable to transfer money to a beneficiary.,BANKING77
3265,Will you charge me more if I top up with an international card?,BANKING77
3266,Is my credit card supported for top-ups?,BANKING77
3267,I would like to know which fiat currencies are recognized by your organization.,BANKING77
3268,I might need a new card because it's not working at any of the ATMs. I don't think ive used all my money. Why is it doing this?,BANKING77
3269,What steps do I need to get another card?,BANKING77
3270,I just had a look at my statement. Why have I been changed for using the ATM?,BANKING77
3271,"Hi, I sent my landlord my rent money a few days ago and while everything seems good on my end he says that he never got the money. I double checked the account number and it's correct. Can you help me figure this out?",BANKING77
3272,Someone might have access to my card!  There are some strange payments showing up on my account.  What do I do?,BANKING77
3273,my transfer isn't there,BANKING77
3274,Why am I being charged certain fees? I noticed a fee after I withdrew some money for groceries earlier today.,BANKING77
3275,How do I go forth on transferring a sum of money from one account to another?,BANKING77
3276,Can I choose between Visa and Mastercard?,BANKING77
3277,I haven't received the cash from the check I deposited.,BANKING77
3278,Why is there a direct debit fee in the App when I didn't do it?,BANKING77
3279,Do you do business in the EU?,BANKING77
3280,"Hello,  In my most recent ATM transaction, I didn't receive nearly as much cash as I thought I would - what is your exchange rate policy?",BANKING77
3281,I made a cash deposit going to my account but it is not there,BANKING77
3282,I made a transfer recently but it has not changed on my dashboard.,BANKING77
3283,Why can't you allow my beneficiary?,BANKING77
3284,What is the process to activate a card,BANKING77
3285,Why has my payment been reversed?,BANKING77
3286,I could not transfer to a beneficiary,BANKING77
3287,"I need to transfer money into my account, HOW?",BANKING77
3288,I need a Visa card,BANKING77
3289,"Help, your app is showing a larger WD than I actually did earlier at an ATM.",BANKING77
3290,"Can I change my pin at ATMs?  If so, what ones?",BANKING77
3291,How much transactions do I get with a disposable card?,BANKING77
3292,I tried to get cash out of the ATM but it is taking too long,BANKING77
3293,"My card's expiration is approaching, how do I replace it.",BANKING77
3294,Do i have to verify who I am?,BANKING77
3295,Someone has been using my card. There are unfamiliar transactions on there. Can you freeze the card to keep this from happening?,BANKING77
3296,Can I top off with a debit card?,BANKING77
3297,Can I change my PIN without going to a bank?,BANKING77
3298,my pin hasn't arrived in the post! How do I cancel it or get a new one?,BANKING77
3299,Where are the cards delivered to,BANKING77
3300,How long does it take for money to transfer as my balance hasn't been updated,BANKING77
3301,I can't use the app because I got mugged yesterday and they took everything. I need some help.,BANKING77
3302,Is it possible to get a refund for the item?,BANKING77
3303,What is a pending cash withdrawal?,BANKING77
3304,I have no idea why there is a dollar that has been charged to my account.,BANKING77
3305,Why was my account assessed a fee?,BANKING77
3306,Why can't I see my funds after I topped up?,BANKING77
3307,How to receive transfers from my employer when I get paid in GBP?,BANKING77
3308,There is a transaction showing in my app that I did not make as I have not used that card all day.  Please reimburse this amount to my account.,BANKING77
3309,What is going on with it saying my card payment was declined?,BANKING77
3310,I really need to top-up my card today urgently but my card keeps getting declined!! Can you please resolve this problem or let me know if you have any alternatives,BANKING77
3311,Have a payment that I haven't done.,BANKING77
3312,I am under the impression that my top up is still pending,BANKING77
3313,"How long does it take for transfers to be approved?  I sent funds to my girlfriend, and she says that she has not seen any approved funds in her account.",BANKING77
3314,I've made more than one attempt to make a purchase and the card keeps getting declined. Why do you keep denying my transfers?,BANKING77
3315,How do I find out my source of funds?,BANKING77
3316,How long is the wait for a money transfer to post?,BANKING77
3317,Is there a location where I can change my PIN?,BANKING77
3318,Can you tell me what the disposable cards are used for?,BANKING77
3319,My card expires next week. How do I get a new one?,BANKING77
3320,Why do I see a random withdrawal in my app?,BANKING77
3321,"Is there something wrong with my card payment? It's been pending a really, really long time.",BANKING77
3322,I left my card at a restaurant and now its missing.,BANKING77
3323,The exchange rate for my card payment doesn't seem right.,BANKING77
3324,Why is there a fee for getting cash?,BANKING77
3325,How can I replace an expired card?,BANKING77
3326,Help me cancel a transfer.,BANKING77
3327,Reason for my card to decline,BANKING77
3328,Where do I go to fill out the identity form?,BANKING77
3329,How recent do my documents need to be for verification?,BANKING77
3330,After making a payment with my card it doesn't seem to have worked. It's just showing to be pending. When will this actually be going through?,BANKING77
3331,What if my top up is reverted?,BANKING77
3332,"I got less than what i asked for in the ATM, why?",BANKING77
3333,When will the check I deposited post to my account?,BANKING77
3334,Do you offer SWIFT transfers?,BANKING77
3335,"If the ATM only gave me 10 pounds instead of the 30 I requested, what do I do?",BANKING77
3336,What do I have to do to get my virtual card?,BANKING77
3337,How do I change the PIN?,BANKING77
3338,How do I dispute a debit that I didn't make?,BANKING77
3339,"I need a new card to replace an expired one. Will it cost anything, and how soon?",BANKING77
3340,Why is my payment in pending status?,BANKING77
3341,"I requested a refund from a seller a while ago, but when I check my statements it doesn't show up. Can you help me get my refund.",BANKING77
3342,I would like to have a physical card to carry around and use. How can I get one?,BANKING77
3343,"How long should a transfer normally take to process completely? I have a friend that needs it right away, but it's already been 2 hours and she hasn't received it.",BANKING77
3344,Help me figure out how to link the new card.,BANKING77
3345,the exchange rate for my withdrawal is wrong,BANKING77
3346,For topping-up is there a charge?,BANKING77
3347,How do I find out where my funds came from?,BANKING77
3348,Are cards available to those outside of the UK?,BANKING77
3349,Can I change my PIN in Austria?,BANKING77
3350,My new card isn't here and it was issued a week ago.,BANKING77
3351,Why are fees charged for cash withdrawals? I went to withdraw some money earlier today after shopping. There's a new fee that there.,BANKING77
3352,"Hello,  I have recharged topup but account is not credited. Please help me in this, i guess there is some defect in system.",BANKING77
3353,My new landlord is a lier and is trying to rip me off by saying I've not paid my rent when I have paid my rent.  What is going on?  They say the money hasn't got to them but I see it going out of my account.  Can you check that the money went to the right place?,BANKING77
3354,I would like to receive instructions showing the verification process for top up cards..,BANKING77
3355,"I have a card that expires in the coming month, do I have to specifically ask for the updated card?",BANKING77
3356,I want to get my hands on one of those virtual cards!,BANKING77
3357,"Why is there now a charge for making cash withdrawals? I wanted some cash after I went to the grocery store, and there's a new fee!",BANKING77
3358,"After my checque or cash deposit, my balance didn't update.",BANKING77
3359,Are there any charges for top ups?,BANKING77
3360,"I logged in wrong and am blocked, how do I log in?",BANKING77
3361,What is my source of funds?,BANKING77
3362,I have a new card and need to activate it,BANKING77
3363,I lost my card n need a new one.,BANKING77
3364,"Unable to complete transfer, states 'declined'",BANKING77
3365,Why was there a fee for paying by card?,BANKING77
3366,"When will I get a new card when I order it, and how much will it cost.",BANKING77
3367,What currency is acceptable for a top up?,BANKING77
3368,I withdrew cash and was charged. Why?,BANKING77
3369,Please let me know what currency I can use to top up my account?,BANKING77
3370,I tried to pay with my card and it didn't work,BANKING77
3371,What is the process to link the new card?,BANKING77
3372,What is the auto top-up limit?,BANKING77
3373,I couldn't pay with my card,BANKING77
3374,The attempted transfer failed.,BANKING77
3375,"For the identity check, do I need any kind of documentation?",BANKING77
3376,I made a transaction this morning but I need to revert it now.,BANKING77
3377,How do I activate auto top-up when traveling?,BANKING77
3378,I tried to withdraw 40 pounds but only 20 came out. Did you steal my money?,BANKING77
3379,Why is there a $1 charge on my statement?,BANKING77
3380,I received the wrong amount of cash from the ATM. Can you help?,BANKING77
3381,Is it free to transfer money or is there a fee?,BANKING77
3382,The exchange rate for my cash withdrawal was incorrect,BANKING77
3383,exchanging currencies costs what?,BANKING77
3384,Can I have my card delivered on Tuesday?,BANKING77
3385,Help me verify my identification.,BANKING77
3386,I would like to change currency,BANKING77
3387,"My card still hasn't arrived after two weeks, now what?",BANKING77
3388,I must change my PIN as soon as possible.,BANKING77
3389,"I am at the ATM and tried to withdraw 30 pounds and it only gave me 10 pounds, what do I do?",BANKING77
3390,Dude I put money in the ATM last week but it ain't there! I need the money now figure this out!,BANKING77
3391,"Hello, I have a question concerning an unfamiliar fee that I notice on my account. I see that you guys charge for ATM withdrawal. Never notice this fee until now. Can you please explain?",BANKING77
3392,I didn't initiate a direct debit that I see on my account,BANKING77
3393,Somebody used my card without my knowledge!,BANKING77
3394,What documents do I need for the identity check?,BANKING77
3395,Where did the  €1 fee in my statement come from,BANKING77
3396,What reasons could cause my top up to be reverted,BANKING77
3397,"A 500 pound cash withdrawal was just made from my account, but I didn't make it. I am pretty sure my card has been compromised - can you help me?",BANKING77
3398,How come the money from the merchant appeared back into my account?,BANKING77
3399,Should my top up still be pending?,BANKING77
3400,Do you have to be 18 to make an account?,BANKING77
3401,"What stopped my transfer, from being accepted?",BANKING77
3402,Why have I been charged a fee for transferring money?,BANKING77
3403,"I accidentally chose to exchange GBP, but I need to pick AUD. How can I change it?",BANKING77
3404,How long does my top up pending last?,BANKING77
3405,What do I do after my card expires?,BANKING77
3406,What is the reason my cash withdrawal is still pending?,BANKING77
3407,Can I use google pay for topping -up,BANKING77
3408,I entered the wrong pin too many times and now I think it's blocked. What do I do?,BANKING77
3409,Can someone help me unblock my pin?,BANKING77
3410,Will the card be a Mastercard or a Visa?,BANKING77
3411,I don't know what this Direct Debit payment is.,BANKING77
3412,My card appears to have never arrived?,BANKING77
3413,What is the foreign exchange rate you will apply?,BANKING77
3414,Are there any fees associated with receiving money?,BANKING77
3415,Show me how to verify my identity?,BANKING77
3416,How many currencies can I have?,BANKING77
3417,What fiat currencies are used for holdings?,BANKING77
3418,where exactly does money come from,BANKING77
3419,A direct debit appears in the app but I didn't authorize it.,BANKING77
3420,I was wondering about transferring money into my account and how it works.  Can you tell me about that?,BANKING77
3421,I sent a payment but now it's not showing up.,BANKING77
3422,It looks like my card payment was sent back.,BANKING77
3423,What forms of ID work for verification?,BANKING77
3424,There is random cash in my account.,BANKING77
3425,I can't verify identity through the app.,BANKING77
3426,What do I do if my smart phone was stolen?,BANKING77
3427,How do I check to see why my card payment was declined?,BANKING77
3428,I need help with some transactions in my account that I dont recognize or remember purchasing. Im not sure if the name is just different or what. Should my card be put on hold while the issue gets figured out to be safe or is it ok?,BANKING77
3429,You did not give me the correct exchange rate for an item that I bought.,BANKING77
3430,€1 was in my statement as an extra fee.,BANKING77
3431,Why was there an extra charge when I transferred money?,BANKING77
3432,"Now that I have my card, how do I connect it to the app?",BANKING77
3433,My card stopped working after multiple transactions. Why?,BANKING77
3434,I can't make purchases with my virtual card.,BANKING77
3435,I really need to top-up my card today urgently but my card keeps getting declined!! Can you please help me with this problem or let me know if you have any alternatives,BANKING77
3436,Why is my last transfer pending?,BANKING77
3437,How old do you need to be to open an account?,BANKING77
3438,What are the disposable card limits?,BANKING77
3439,It looks like my card payment might have been reverted.,BANKING77
3440,What are the steps to verify identity?,BANKING77
3441,There's an unauthorized direct debit in my app.,BANKING77
3442,Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,BANKING77
3443,What is the reason that my top-up is still pending?,BANKING77
3444,how long are my top ups pending,BANKING77
3445,"I made a transfer and the receiver said an amount was received, but not exactly the same as the right amount. I now have to transfer more to get the remainder to the receiver. Can you alert me about this. What's been happening?",BANKING77
3446,I see a direct debit transaction in my history that I did not set up.,BANKING77
3447,I must verify the source of my funds,BANKING77
3448,A refund for a recent return has not arrived on my card.,BANKING77
3449,Please cancel my last transaction.,BANKING77
3450,Why was I charged extra when paying with card?,BANKING77
3451,I was unable to transfer money from my account.,BANKING77
3452,Do you accept US credit cards?,BANKING77
3453,Editing my personal details,BANKING77
3454,What is my password?,BANKING77
3455,Why was a payment cancelled on my account?,BANKING77
3456,My top is still pending.,BANKING77
3457,Why did the ATM take my card and keep it?,BANKING77
3458,What's taking so long for this payment to go through?,BANKING77
3459,I ordered a card and would like to know how to track the delivery progress of it.,BANKING77
3460,The ATM didn't give me enough money.,BANKING77
3461,How do I get this damn virtual card to work?,BANKING77
3462,"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",BANKING77
3463,Please help me.  My card is missing.,BANKING77
3464,My card will not work,BANKING77
3465,Can I get some help to get me card activated?,BANKING77
3466,Am I able to do top-ups with Google Pay?,BANKING77
3467,Are there discounts for frequent currency exchanges?,BANKING77
3468,What do I do if I can't access the app?,BANKING77
3469,why hasn't my virtual card arrived?,BANKING77
3470,When can I expect my refund?,BANKING77
3471,I can't see a verification code anywhere,BANKING77
3472,Where can the pin be located?,BANKING77
3473,The balance has not been updated.,BANKING77
3474,How can I request cash back? The ATM just gave me the wrong amount that I've been charged though...,BANKING77
3475,"My phone was stolen, what can I do?",BANKING77
3476,I think someone else is using my card.,BANKING77
3477,I haven't been sent my new pin!,BANKING77
3478,"Hello, there was an error while attempting top-up with my card this morning. I was able to use the card two days ago with no issues. Could you please assist?",BANKING77
3479,I can not find my phone or it has been stolen.,BANKING77
3480,Which ATMs accept this bill of fare ?,BANKING77
3481,Can I choose what card I can use,BANKING77
3482,I need to order a new card as my other one was stolen.,BANKING77
3483,Where is the closest ATM I can use?,BANKING77
3484,Are transfers not free? I didn't know I would be charged for transfers.,BANKING77
3485,What is the number of transactions I get with a disposable card?,BANKING77
3486,What will happen after my card expires?,BANKING77
3487,Is there something that I can do since my phone was stolen yesterday?,BANKING77
3488,Can you explain to me the way to verify my top up has gone through?,BANKING77
